feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,n_samples,spearman_significant,effect_size
has_actions_verbs,-0.03840477823895414,5.620374264199704e-11,-0.013479060341523293,0.02148444175672543,0.03840477823895414,29100,True,negligible
has_artists,-0.017422049913568653,0.002957925258630756,-0.015174741355028352,0.009635163041056018,0.017422049913568653,29100,True,negligible
has_camera_composition,-0.016917741958942845,0.0039013107602257147,-0.015992085132423995,0.006369978889117699,0.016917741958942845,29100,True,negligible
has_lighting_color,0.04151773146597414,1.3889883648316588e-12,0.019826176811195036,0.0007188695269919355,0.04151773146597414,29100,True,negligible
has_quality_boosters,0.004315179612048791,0.4616781769042797,-0.014474600644381181,0.013541355190872684,0.004315179612048791,29100,False,negligible
has_style_codes,0.015120750015835646,0.00989596814809329,-0.006895654906077197,0.2394853774519672,0.015120750015835646,29100,True,negligible
has_style_modifiers,0.05044783773033146,7.250849475514655e-18,0.026522220575553902,6.040879562644053e-06,0.05044783773033146,29100,True,negligible
has_subjects,0.01651038170983922,0.004854534148465649,0.019600158771534794,0.0008266486105770285,0.01651038170983922,29100,True,negligible
actions_verbs_count,-0.039787778595422346,1.1237988048571197e-11,-0.010953783434952801,0.06168527196028121,0.039787778595422346,29100,True,negligible
artists_count,-0.017049553988800356,0.0036314105959922164,-0.0025393155498319837,0.664900807012016,0.017049553988800356,29100,True,negligible
camera_composition_count,-0.01614312166031851,0.005889490489303309,-0.013852621746244112,0.01812316441610151,0.01614312166031851,29100,True,negligible
lighting_color_count,0.04389021842732805,6.866501902661322e-14,0.012405265641089696,0.03433032551699614,0.04389021842732805,29100,True,negligible
quality_boosters_count,0.005764938448179168,0.3254151580260739,-0.011656071470389068,0.04677200346035216,0.005764938448179168,29100,False,negligible
style_codes_count,0.029382739509836518,5.353585653497581e-07,0.007413207118396711,0.20602857828418408,0.029382739509836518,29100,True,negligible
style_modifiers_count,0.049396193235974134,3.4230217442588597e-17,0.013294319411899343,0.023338728945734463,0.049396193235974134,29100,True,negligible
subjects_count,-0.010943605067535908,0.06192744372364939,-0.02710847709393302,3.7457850306943886e-06,0.010943605067535908,29100,False,negligible
has_negative,-0.04852329352909708,1.2114740290474814e-16,-0.06021563514266807,8.5916160967819e-25,0.04852329352909708,29100,True,negligible
has_weights,0.017955270358997837,0.002190897868268363,-0.00721601800617951,0.21835143784917355,0.017955270358997837,29100,True,negligible
negative_word_count,-0.0490376051299131,5.768441582311895e-17,-0.035700485766379464,1.1169919586459082e-09,0.0490376051299131,29100,True,negligible
prompt_word_count,0.044866305778624216,1.901114173651638e-14,0.015927722033379454,0.006585243498190095,0.044866305778624216,29100,True,negligible
